Id,Name,aforza__Account__c,aforza__Attribute__c,aforza__Product__c,aforza__Value__c,aforza__Account__r.Name,aforza__Attribute__r.aforza__Code__c,aforza__Product__r.StockKeepingUnit
a0A2z000000B0hPEAS,AAS-00000988,0012z00000CGJyjAAH,a0C2z000000B59OEAS,,England,SALFORD SUPERMARKET,AA-0010,
a0A2z000000B0hQEAS,AAS-00000989,0012z00000CGJykAAH,a0C2z000000B59OEAS,,England,DUCHY STORES,AA-0010,
a0A2z000000B0hREAS,AAS-00000990,0012z00000CGJylAAH,a0C2z000000B59OEAS,,England,LOCAL GENERAL STORE,AA-0010,
a0A2z000000B0hSEAS,AAS-00000991,0012z00000CGJymAAH,a0C2z000000B59OEAS,,England,FAMILY SHOPPER,AA-0010,
a0A2z000000B0hTEAS,AAS-00000992,0012z00000CGJynAAH,a0C2z000000B59OEAS,,England,NISA LOCAL,AA-0010,
a0A2z000000B0hUEAS,AAS-00000993,0012z00000CGJyoAAH,a0C2z000000B59OEAS,,England,ASH TREE NEWSAGENTS,AA-0010,
a0A2z000000B0hVEAS,AAS-00000994,0012z00000CGJypAAH,a0C2z000000B59OEAS,,England,GO LOCAL - VICTORIA AVENUE WINES,AA-0010,
a0A2z000000B0hWEAS,AAS-00000995,0012z00000CGJyqAAH,a0C2z000000B59OEAS,,England,ARYANS CONV STORE,AA-0010,
a0A2z000000B0hXEAS,AAS-00000996,0012z00000CGJyrAAH,a0C2z000000B59OEAS,,England,NEWSPOINT,AA-0010,
a0A2z000000B0hYEAS,AAS-00000997,0012z00000CGJysAAH,a0C2z000000B59OEAS,,England,DARTFORD NEWS,AA-0010,
a0A2z000000B0hZEAS,AAS-00000998,0012z00000CGJytAAH,a0C2z000000B59OEAS,,England,NEW BURY SUPERSTORE LTD,AA-0010,
a0A2z000000B0haEAC,AAS-00000999,0012z00000CGJyuAAH,a0C2z000000B59OEAS,,England,PAK FOOD STORE,AA-0010,
a0A2z000000B0hbEAC,AAS-00001000,0012z00000CGJyvAAH,a0C2z000000B59OEAS,,England,RAJ'S,AA-0010,
a0A2z000000B0hcEAC,AAS-00001001,0012z00000CGJywAAH,a0C2z000000B59OEAS,,England,BONDS,AA-0010,
a0A2z000000B0hdEAC,AAS-00001002,0012z00000CGJyxAAH,a0C2z000000B59OEAS,,England,SUBY AND SUFY BROTHERS LTD,AA-0010,
a0A2z000000B0heEAC,AAS-00001003,0012z00000CGJyyAAH,a0C2z000000B59OEAS,,England,PREMIER,AA-0010,
a0A2z000000B0hfEAC,AAS-00001004,0012z00000CGJz0AAH,a0C2z000000B59OEAS,,England,SALFORD SPIRITS,AA-0010,
a0A2z000000B0hgEAC,AAS-00001005,0012z00000CGJz1AAH,a0C2z000000B59OEAS,,England,M S SUPERMARKET,AA-0010,
a0A2z000000B0hiEAC,AAS-00001007,0012z00000CGJz3AAH,a0C2z000000B59OEAS,,England,ZAYNES GROCER LTD,AA-0010,
a0A2z000000B0hjEAC,AAS-00001008,0012z00000CGJz4AAH,a0C2z000000B59OEAS,,England,A & B NEWS,AA-0010,
a0A2z000000B0hkEAC,AAS-00001009,0012z00000CGJz5AAH,a0C2z000000B59OEAS,,England,MILES NEWSAGENTS,AA-0010,
a0A2z000000B0hlEAC,AAS-00001010,0012z00000CGJz6AAH,a0C2z000000B59OEAS,,England,MANCHESTER GROCERY,AA-0010,
a0A2z000000B0hmEAC,AAS-00001011,0012z00000CGJz7AAH,a0C2z000000B59OEAS,,England,BARTON CONVINIENCE STORE,AA-0010,
a0A2z000000B0hnEAC,AAS-00001012,0012z00000CGJz8AAH,a0C2z000000B59OEAS,,England,MIA'S SANDWICH SHOP,AA-0010,
a0A2z000000B0hoEAC,AAS-00001013,0012z00000CGJz9AAH,a0C2z000000B59OEAS,,England,STRATFORD NEWS,AA-0010,
a0A2z000000B0hpEAC,AAS-00001014,0012z00000CGJzAAAX,a0C2z000000B59OEAS,,England,PARK ROAD MINIMARKET,AA-0010,
a0A2z000000B0hqEAC,AAS-00001015,0012z00000CGJzBAAX,a0C2z000000B59OEAS,,England,RAJ STORES,AA-0010,
a0A2z000000B0hrEAC,AAS-00001016,0012z00000CGJzCAAX,a0C2z000000B59OEAS,,England,EGERTON ROAD SOUTH PO,AA-0010,
a0A2z000000B0hsEAC,AAS-00001017,0012z00000CGJzDAAX,a0C2z000000B59OEAS,,England,JAVID FOODSTORE,AA-0010,
a0A2z000000B0htEAC,AAS-00001018,0012z00000CGJzEAAX,a0C2z000000B59OEAS,,England,QUADRANT LOCAL,AA-0010,
a0A2z000000B0huEAC,AAS-00001019,0012z00000CGJzFAAX,a0C2z000000B59OEAS,,England,GO LOCAL PALATINE,AA-0010,
a0A2z000000B0hvEAC,AAS-00001020,0012z00000CGJzGAAX,a0C2z000000B59OEAS,,England,PARK NEWS,AA-0010,
a0A2z000000B0hwEAC,AAS-00001021,0012z00000CGJzHAAX,a0C2z000000B59OEAS,,England,EARLS WAY CONVENIENCE STORE,AA-0010,
a0A2z000000B0hxEAC,AAS-00001022,0012z00000CGJzIAAX,a0C2z000000B59OEAS,,England,WOODS NEWS,AA-0010,
a0A2z000000B0hyEAC,AAS-00001023,0012z00000CGJzJAAX,a0C2z000000B59OEAS,,England,CHESHIRE CAT MACCLESFIELD LTD,AA-0010,
a0A2z000000B0hzEAC,AAS-00001024,0012z00000CGJzKAAX,a0C2z000000B59OEAS,,England,J & J TRADING,AA-0010,
a0A2z000000B0i0EAC,AAS-00001025,0012z00000CGJzLAAX,a0C2z000000B59OEAS,,England,ORRELL CONVENIENCE STORE,AA-0010,
a0A2z000000B0i1EAC,AAS-00001026,0012z00000CGJzMAAX,a0C2z000000B59OEAS,,England,YOUR LOCAL,AA-0010,
